Post_ID,Account_Name,Platform,Category,Post_Type,Post_Date,Post_Text,Followers_At_Post,Reach,Impressions,Likes,Comments_Count,Shares,Is_Sponsored
2684.0,اليوم  السابع  نيوز,فيسبوك ,اخبار,image,2025-01-30,تغطية مباشرة لفعاليات المؤتمر,11465,2694.0,5192,198.0,25.0,12.0,لا
623.0,كورة كل يوم  ,FB,Sports,story,2025-11-07,تحليل فني لأداء الفريق هذا الموسم,68909,10055.0,15745,132.0,12.0,11.0,
3619.0,ملعب مصر,فيس بوك,كورة,صوره,,أهم أحداث مباراة اليوم بالتفصيل,19642,4842.0,6794,265,31.0,22.0,
2689.0,اتعلم اونلاين,youtube,تعليم ,story,05/10/2025,خطوات عملية لتعلم مهارة جديدة,8540,4610.0,9669,211.0,8.0,19.0,لا
1079.0,كوميديا العرب ✅,تويتر (X),ترفيه,Reel,2025-03-11,أفضل خمس مشاهد كوميدية هذا العام,16763,1186.0,1361,101.0,3.0,3.0,
1528.0,بوابة  الأحداث,فيسبوك,اخبار,story,19/05/2025,تغطية مباشرة لفعاليات المؤتمر,44002,14525.0,23803,501.0,34.0,9.0,
346.0,أخبار الرياضة,فيسبوك,رياضة,نص,2024-10-24,أفضل اللقطات من الجولة الأخيرة,34496,11425.0,18174,771.0,113.0,67.0,
3082.0,أكاديمية  المعرفة,Facebook,تعليم,ستوري,,دورة مجانية لتعلم أساسيات البرمجة,12588,3886.0,8456,91.0,8.0,10.0,
1531.0,بوابة الأحداث,فيسبوك,News,text,04/12/2025,ملخص أهم الأخبار المحلية اليوم,282447,162136.0,316726,1140.0,92.0,79.0,Yes
3295.0, موضة اليوم,Facebook,أزياء,,2025-03-17,نصائح لاختيار الألوان المناسبة لبشرتك,21624,1281.0,2395,67.0,8.0,4.0,Yes
1724.0,ضحك ونكت ✅,insta,Entertainment,video,02/01/2024,نكت وضحك من غير توقف,58258,24233.0,52049,645,39.0,127.0,No
3007.0, ملعب مصر,YouTube,كورة,reels,12-02-2025,أهم أحداث مباراة اليوم بالتفصيل,18830,7872.0,9020,261.0,35.0,29.0,
1934.0,كوميديا العرب,YouTube,كوميدي,text,02/10/2024,تحدي جديد بين المتابعين,26184,8855.0,10288,46.0,4.0,1.0,
1109.0,أخبار الرياضة,X,رياضة,ستوري ,29-11-2025,أهم أحداث مباراة اليوم بالتفصيل,94589,30630.0,61571,2274.0,113.0,198.0,
3396.0,عالم الطبخ,انستغرام, طبخ,story,09/07/2025,وصفة سريعة ولذيذة لعشاء اليوم,13275,7235.0,14091,176.0,15.0,26.0,
2796.0,أخبار الرياضة  ,Instagram,Sports,صور,2024-03-30,تحليل فني لأداء الفريق هذا الموسم,98714,50508.0,102981,3190.0,90.0,100.0,0
3613.0, مطبخ سارة,تيك توك,Food,ستوري,2025-06-11,حلويات رمضان بمكونات بسيطة,65599,17949.0,34791,1051.0,97.0,158.0,نعم
3775.0,ضحك ونكت,tiktok,Entertainment,image,2024-07-15,نكت وضحك من غير توقف,27305,1864.0,2348,19.0,2.0,1.0,
514.0,مطبخ  سارة,تيك توك,طبخ,ستوري ,15/02/2024,وصفة سريعة ولذيذة لعشاء اليوم,94400,56126.0,77131,1563.0,121.0,93.0,0
195.0,بوابة الأحداث,TikTok,News,ريلز,2024-01-23,بيان رسمي حول القرار الأخير,33806,11566.0,24565,71.0,5.0,13.0,نعم
